## header:
##   title: Th232(p,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-14
##   format: YANDF-0.4
## target:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## residual:
##   Z: 91
##   A: 233
##   nuclide: Pa233 
## parameters: 
##   level density
a                91 233  14.75839
aadjust          91 233   1.00000
gammald          91 233   0.07697
pair             91 233   0.78615
cfermi           91 233   5.00000   2
Krotconstant     91 233   1.00000   2
D0               91 233 4.20000E-01
g                91 233  15.53333
gp               91 233   6.06667
gn               91 233   9.46667
gnadjust         91 233   1.00000
gpadjust         91 233   1.00000
gadjust          91 233   1.00000
Risomer          91 233   1.00000
## parameters: 
##   photon strength function
gamgam           91 233   0.00000
gamgamadjust     91 233   1.00000
etable           91 233   0.00000 E1
ftable           91 233   1.00000 E1
wtable           91 233   1.00000 E1
etableadjust     91 233   0.00000 E1
ftableadjust     91 233   1.00000 E1
wtableadjust     91 233   1.00000 E1
upbendc          91 233 3.50000E-08 M1
upbende          91 233 8.00000E-01 M1
upbendf          91 233 6.00000E+00 M1
upbendcadjust    91 233 1.00000E+00 M1
upbendeadjust    91 233 1.00000E+00 M1
upbendfadjust    91 233 1.00000E+00 M1
sgr              91 233   2.818 M1
egr              91 233   7.256 M1
ggr              91 233   4.000 M1
sgradjust        91 233   1.000 M1
egradjust        91 233   1.000 M1
ggradjust        91 233   1.000 M1
etable           91 233   0.00000 E2
ftable           91 233   1.00000 E2
wtable           91 233   1.00000 E2
etableadjust     91 233   0.00000 E2
ftableadjust     91 233   1.00000 E2
wtableadjust     91 233   1.00000 E2
upbendc          91 233 0.00000E+00 M2
upbende          91 233 0.00000E+00 M2
upbendf          91 233 0.00000E+00 M2
upbendcadjust    91 233 1.00000E+00 M2
upbendeadjust    91 233 1.00000E+00 M2
upbendfadjust    91 233 1.00000E+00 M2
sgr              91 233   0.002 M2
egr              91 233   7.256 M2
ggr              91 233   4.000 M2
sgradjust        91 233   1.000 M2
egradjust        91 233   1.000 M2
ggradjust        91 233   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       91 233   1.00000
vfiscor          91 233   1.00000
rmiufiscor       91 233   1.00000
betafiscoradjust   91 233   1.00000
vfiscoradjust    91 233   1.00000
rmiufiscoradjust   91 233   1.00000
bdamp            91 233   0.01000  1
bdampadjust      91 233   1.00000  1
class2width      91 233   0.20000  1
Rtransmom        91 233   0.60000  1
Rclass2mom       91 233   1.00000  1
bdamp            91 233   0.01000  2
bdampadjust      91 233   1.00000  2
Rtransmom        91 233   1.00000  2
Rclass2mom       91 233   1.00000  2
## residual:
##   Z: 91
##   A: 232
##   nuclide: Pa232 
## parameters: 
##   level density
a                91 232  15.99196
aadjust          91 232   1.00000
gammald          91 232   0.07708
pair             91 232   0.00000
Pshift           91 232   0.00000   0
Pshiftadjust     91 232   0.00000   0
deltaW           91 232   2.97700   0
T                91 232   0.33658   0
E0               91 232  -1.07864   0
Exmatch          91 232   2.17498   0
Tadjust          91 232   1.00000   0
E0adjust         91 232   1.00000   0
Exmatchadjust    91 232   1.00000   0
Ntop             91 232  30   0
Nlow             91 232   2   0
s2adjust         91 232   1.00000   0
ctable           91 232   0.00000   0
ptable           91 232   0.00000   0
ctableadjust     91 232   0.00000   0
ptableadjust     91 232   0.00000   0
Ufermi           91 232  30.00000   0
cfermi           91 232   5.00000   0
Krotconstant     91 232   1.00000   0
Pshift           91 232   0.00000   1
Pshiftadjust     91 232   0.00000   1
deltaW           91 232   1.50000   1
T                91 232   0.33658   1
E0               91 232  -0.89233   1
Exmatch          91 232   1.85046   1
Tadjust          91 232   1.00000   1
E0adjust         91 232   1.00000   1
Exmatchadjust    91 232   1.00000   1
Ntop             91 232   1   1
Nlow             91 232   0   1
s2adjust         91 232   1.00000   1
ctable           91 232   0.00000   1
ptable           91 232   0.00000   1
ctableadjust     91 232   0.00000   1
ptableadjust     91 232   0.00000   1
Ufermi           91 232  45.00000   1
cfermi           91 232   5.00000   1
Krotconstant     91 232   1.00000   1
Pshift           91 232   0.00000   2
Pshiftadjust     91 232   0.00000   2
deltaW           91 232   0.60000   2
T                91 232   0.33658   2
E0               91 232  -0.78514   2
Exmatch          91 232   1.62392   2
Tadjust          91 232   1.00000   2
E0adjust         91 232   1.00000   2
Exmatchadjust    91 232   1.00000   2
Ntop             91 232   1   2
Nlow             91 232   0   2
s2adjust         91 232   1.00000   2
ctable           91 232   0.00000   2
ptable           91 232   0.00000   2
ctableadjust     91 232   0.00000   2
ptableadjust     91 232   0.00000   2
Ufermi           91 232  45.00000   2
cfermi           91 232   5.00000   2
Krotconstant     91 232   1.00000   2
D0               91 232 5.10000E-01
g                91 232  15.46667
gp               91 232   6.06667
gn               91 232   9.40000
gnadjust         91 232   1.00000
gpadjust         91 232   1.00000
gadjust          91 232   1.00000
Risomer          91 232   1.00000
## parameters: 
##   photon strength function
gamgam           91 232   0.00004
gamgamadjust     91 232   1.00000
etable           91 232   0.00000 E1
ftable           91 232   1.00000 E1
wtable           91 232   1.00000 E1
etableadjust     91 232   0.00000 E1
ftableadjust     91 232   1.00000 E1
wtableadjust     91 232   1.00000 E1
upbendc          91 232 3.50000E-08 M1
upbende          91 232 8.00000E-01 M1
upbendf          91 232 6.00000E+00 M1
upbendcadjust    91 232 1.00000E+00 M1
upbendeadjust    91 232 1.00000E+00 M1
upbendfadjust    91 232 1.00000E+00 M1
sgr              91 232   2.808 M1
egr              91 232   7.261 M1
ggr              91 232   4.000 M1
sgradjust        91 232   1.000 M1
egradjust        91 232   1.000 M1
ggradjust        91 232   1.000 M1
etable           91 232   0.00000 E2
ftable           91 232   1.00000 E2
wtable           91 232   1.00000 E2
etableadjust     91 232   0.00000 E2
ftableadjust     91 232   1.00000 E2
wtableadjust     91 232   1.00000 E2
upbendc          91 232 0.00000E+00 M2
upbende          91 232 0.00000E+00 M2
upbendf          91 232 0.00000E+00 M2
upbendcadjust    91 232 1.00000E+00 M2
upbendeadjust    91 232 1.00000E+00 M2
upbendfadjust    91 232 1.00000E+00 M2
sgr              91 232   0.002 M2
egr              91 232   7.261 M2
ggr              91 232   4.000 M2
sgradjust        91 232   1.000 M2
egradjust        91 232   1.000 M2
ggradjust        91 232   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       91 232   1.00000
vfiscor          91 232   1.00000
rmiufiscor       91 232   1.00000
betafiscoradjust   91 232   1.00000
vfiscoradjust    91 232   1.00000
rmiufiscoradjust   91 232   1.00000
bdamp            91 232   0.01000  1
bdampadjust      91 232   1.00000  1
class2width      91 232   0.20000  1
Rtransmom        91 232   0.60000  1
Rclass2mom       91 232   1.00000  1
bdamp            91 232   0.01000  2
bdampadjust      91 232   1.00000  2
Rtransmom        91 232   1.00000  2
Rclass2mom       91 232   1.00000  2
## residual:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## parameters: 
##   level density
a                90 232  16.39672
aadjust          90 232   1.00000
gammald          90 232   0.07708
pair             90 232   1.57568
Pshift           90 232   0.00000   0
Pshiftadjust     90 232   0.00000   0
deltaW           90 232   3.39415   0
T                90 232   0.38454   0
E0               90 232  -0.14969   0
Exmatch          90 232   4.62081   0
Tadjust          90 232   1.00000   0
E0adjust         90 232   1.00000   0
Exmatchadjust    90 232   1.00000   0
Ntop             90 232  34   0
Nlow             90 232   7   0
s2adjust         90 232   1.00000   0
ctable           90 232   0.00000   0
ptable           90 232   0.00000   0
ctableadjust     90 232   0.00000   0
ptableadjust     90 232   0.00000   0
Ufermi           90 232  30.00000   0
cfermi           90 232   5.00000   0
Krotconstant     90 232   1.00000   0
Pshift           90 232   0.00000   1
Pshiftadjust     90 232   0.00000   1
deltaW           90 232   1.50000   1
T                90 232   0.40113   1
E0               90 232   0.00002   1
Exmatch          90 232   4.48102   1
Tadjust          90 232   1.00000   1
E0adjust         90 232   1.00000   1
Exmatchadjust    90 232   1.00000   1
Ntop             90 232   1   1
Nlow             90 232   0   1
s2adjust         90 232   1.00000   1
ctable           90 232   0.00000   1
ptable           90 232   0.00000   1
ctableadjust     90 232   0.00000   1
ptableadjust     90 232   0.00000   1
Ufermi           90 232  45.00000   1
cfermi           90 232   5.00000   1
Krotconstant     90 232   1.00000   1
Pshift           90 232   0.00000   2
Pshiftadjust     90 232   0.00000   2
deltaW           90 232   0.60000   2
T                90 232   0.41609   2
E0               90 232   0.00001   2
Exmatch          90 232   4.50026   2
Tadjust          90 232   1.00000   2
E0adjust         90 232   1.00000   2
Exmatchadjust    90 232   1.00000   2
Ntop             90 232   1   2
Nlow             90 232   0   2
s2adjust         90 232   1.00000   2
ctable           90 232   0.00000   2
ptable           90 232   0.00000   2
ctableadjust     90 232   0.00000   2
ptableadjust     90 232   0.00000   2
Ufermi           90 232  45.00000   2
cfermi           90 232   5.00000   2
Krotconstant     90 232   1.00000   2
g                90 232  15.46667
gp               90 232   6.00000
gn               90 232   9.46667
gnadjust         90 232   1.00000
gpadjust         90 232   1.00000
gadjust          90 232   1.00000
Risomer          90 232   1.00000
## parameters: 
##   photon strength function
gamgam           90 232   0.00000
gamgamadjust     90 232   1.00000
etable           90 232   0.00000 E1
ftable           90 232   1.00000 E1
wtable           90 232   1.00000 E1
etableadjust     90 232   0.00000 E1
ftableadjust     90 232   1.00000 E1
wtableadjust     90 232   1.00000 E1
upbendc          90 232 3.50000E-08 M1
upbende          90 232 8.00000E-01 M1
upbendf          90 232 6.00000E+00 M1
upbendcadjust    90 232 1.00000E+00 M1
upbendeadjust    90 232 1.00000E+00 M1
upbendfadjust    90 232 1.00000E+00 M1
sgr              90 232 449.000 E1 2
egr              90 232  13.870 E1 2
ggr              90 232   4.770 E1 2
sgradjust        90 232   1.000 E1 2
egradjust        90 232   1.000 E1 2
ggradjust        90 232   1.000 E1 2
sgr              90 232   2.808 M1
egr              90 232   7.261 M1
ggr              90 232   4.000 M1
sgradjust        90 232   1.000 M1
egradjust        90 232   1.000 M1
ggradjust        90 232   1.000 M1
etable           90 232   0.00000 E2
ftable           90 232   1.00000 E2
wtable           90 232   1.00000 E2
etableadjust     90 232   0.00000 E2
ftableadjust     90 232   1.00000 E2
wtableadjust     90 232   1.00000 E2
upbendc          90 232 0.00000E+00 M2
upbende          90 232 0.00000E+00 M2
upbendf          90 232 0.00000E+00 M2
upbendcadjust    90 232 1.00000E+00 M2
upbendeadjust    90 232 1.00000E+00 M2
upbendfadjust    90 232 1.00000E+00 M2
sgr              90 232   0.002 M2
egr              90 232   7.261 M2
ggr              90 232   4.000 M2
sgradjust        90 232   1.000 M2
egradjust        90 232   1.000 M2
ggradjust        90 232   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 232   1.00000
vfiscor          90 232   1.00000
rmiufiscor       90 232   1.00000
betafiscoradjust   90 232   1.00000
vfiscoradjust    90 232   1.00000
rmiufiscoradjust   90 232   1.00000
bdamp            90 232   0.01000  1
bdampadjust      90 232   1.00000  1
class2width      90 232   0.20000  1
Rtransmom        90 232   0.60000  1
Rclass2mom       90 232   1.00000  1
bdamp            90 232   0.01000  2
bdampadjust      90 232   1.00000  2
Rtransmom        90 232   1.00000  2
Rclass2mom       90 232   1.00000  2
## residual:
##   Z: 90
##   A: 231
##   nuclide: Th231 
## parameters: 
##   level density
a                90 231  16.83662
aadjust          90 231   1.00000
gammald          90 231   0.07719
pair             90 231   0.78954
Pshift           90 231   0.00000   0
Pshiftadjust     90 231   0.00000   0
deltaW           90 231   3.31792   0
T                90 231   0.39275   0
E0               90 231  -1.09950   0
Exmatch          90 231   4.03378   0
Tadjust          90 231   1.00000   0
E0adjust         90 231   1.00000   0
Exmatchadjust    90 231   1.00000   0
Ntop             90 231  16   0
Nlow             90 231   4   0
s2adjust         90 231   1.00000   0
ctable           90 231   0.00000   0
ptable           90 231   0.00000   0
ctableadjust     90 231   0.00000   0
ptableadjust     90 231   0.00000   0
Ufermi           90 231  30.00000   0
cfermi           90 231   5.00000   0
Krotconstant     90 231   1.00000   0
Pshift           90 231   0.00000   1
Pshiftadjust     90 231   0.00000   1
deltaW           90 231   1.50000   1
T                90 231   0.32124   1
E0               90 231   0.00000   1
Exmatch          90 231   2.46034   1
Tadjust          90 231   1.00000   1
E0adjust         90 231   1.00000   1
Exmatchadjust    90 231   1.00000   1
Ntop             90 231   1   1
Nlow             90 231   0   1
s2adjust         90 231   1.00000   1
ctable           90 231   0.00000   1
ptable           90 231   0.00000   1
ctableadjust     90 231   0.00000   1
ptableadjust     90 231   0.00000   1
Ufermi           90 231  45.00000   1
cfermi           90 231   5.00000   1
Krotconstant     90 231   1.00000   1
Pshift           90 231   0.00000   2
Pshiftadjust     90 231   0.00000   2
deltaW           90 231   0.60000   2
T                90 231   0.33327   2
E0               90 231   0.00002   2
Exmatch          90 231   2.42600   2
Tadjust          90 231   1.00000   2
E0adjust         90 231   1.00000   2
Exmatchadjust    90 231   1.00000   2
Ntop             90 231   1   2
Nlow             90 231   0   2
s2adjust         90 231   1.00000   2
ctable           90 231   0.00000   2
ptable           90 231   0.00000   2
ctableadjust     90 231   0.00000   2
ptableadjust     90 231   0.00000   2
Ufermi           90 231  45.00000   2
cfermi           90 231   5.00000   2
Krotconstant     90 231   1.00000   2
D0               90 231 9.60000E+00
g                90 231  15.40000
gp               90 231   6.00000
gn               90 231   9.40000
gnadjust         90 231   1.00000
gpadjust         90 231   1.00000
gadjust          90 231   1.00000
Risomer          90 231   1.00000
## parameters: 
##   photon strength function
gamgam           90 231   0.00003
gamgamadjust     90 231   1.00000
etable           90 231   0.00000 E1
ftable           90 231   1.00000 E1
wtable           90 231   1.00000 E1
etableadjust     90 231   0.00000 E1
ftableadjust     90 231   1.00000 E1
wtableadjust     90 231   1.00000 E1
upbendc          90 231 3.50000E-08 M1
upbende          90 231 8.00000E-01 M1
upbendf          90 231 6.00000E+00 M1
upbendcadjust    90 231 1.00000E+00 M1
upbendeadjust    90 231 1.00000E+00 M1
upbendfadjust    90 231 1.00000E+00 M1
sgr              90 231   2.798 M1
egr              90 231   7.267 M1
ggr              90 231   4.000 M1
sgradjust        90 231   1.000 M1
egradjust        90 231   1.000 M1
ggradjust        90 231   1.000 M1
etable           90 231   0.00000 E2
ftable           90 231   1.00000 E2
wtable           90 231   1.00000 E2
etableadjust     90 231   0.00000 E2
ftableadjust     90 231   1.00000 E2
wtableadjust     90 231   1.00000 E2
upbendc          90 231 0.00000E+00 M2
upbende          90 231 0.00000E+00 M2
upbendf          90 231 0.00000E+00 M2
upbendcadjust    90 231 1.00000E+00 M2
upbendeadjust    90 231 1.00000E+00 M2
upbendfadjust    90 231 1.00000E+00 M2
sgr              90 231   0.002 M2
egr              90 231   7.267 M2
ggr              90 231   4.000 M2
sgradjust        90 231   1.000 M2
egradjust        90 231   1.000 M2
ggradjust        90 231   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 231   1.00000
vfiscor          90 231   1.00000
rmiufiscor       90 231   1.00000
betafiscoradjust   90 231   1.00000
vfiscoradjust    90 231   1.00000
rmiufiscoradjust   90 231   1.00000
bdamp            90 231   0.01000  1
bdampadjust      90 231   1.00000  1
class2width      90 231   0.20000  1
Rtransmom        90 231   0.60000  1
Rclass2mom       90 231   1.00000  1
bdamp            90 231   0.01000  2
bdampadjust      90 231   1.00000  2
Rtransmom        90 231   1.00000  2
Rclass2mom       90 231   1.00000  2
## residual:
##   Z: 90
##   A: 230
##   nuclide: Th230 
## parameters: 
##   level density
a                90 230  15.48158
aadjust          90 230   1.00000
gammald          90 230   0.07730
pair             90 230   1.58251
Pshift           90 230   0.00000   0
Pshiftadjust     90 230   0.00000   0
deltaW           90 230   3.23841   0
T                90 230   0.41022   0
E0               90 230  -0.32483   0
Exmatch          90 230   4.88245   0
Tadjust          90 230   1.00000   0
E0adjust         90 230   1.00000   0
Exmatchadjust    90 230   1.00000   0
Ntop             90 230  29   0
Nlow             90 230   5   0
s2adjust         90 230   1.00000   0
ctable           90 230   0.00000   0
ptable           90 230   0.00000   0
ctableadjust     90 230   0.00000   0
ptableadjust     90 230   0.00000   0
Ufermi           90 230  30.00000   0
cfermi           90 230   5.00000   0
Krotconstant     90 230   1.00000   0
Pshift           90 230   0.00000   1
Pshiftadjust     90 230   0.00000   1
deltaW           90 230   1.50000   1
T                90 230   0.41169   1
E0               90 230   0.00005   1
Exmatch          90 230   4.51406   1
Tadjust          90 230   1.00000   1
E0adjust         90 230   1.00000   1
Exmatchadjust    90 230   1.00000   1
Ntop             90 230   1   1
Nlow             90 230   0   1
s2adjust         90 230   1.00000   1
ctable           90 230   0.00000   1
ptable           90 230   0.00000   1
ctableadjust     90 230   0.00000   1
ptableadjust     90 230   0.00000   1
Ufermi           90 230  45.00000   1
cfermi           90 230   5.00000   1
Krotconstant     90 230   1.00000   1
Pshift           90 230   0.00000   2
Pshiftadjust     90 230   0.00000   2
deltaW           90 230   0.60000   2
T                90 230   0.42709   2
E0               90 230   0.00003   2
Exmatch          90 230   4.53359   2
Tadjust          90 230   1.00000   2
E0adjust         90 230   1.00000   2
Exmatchadjust    90 230   1.00000   2
Ntop             90 230   1   2
Nlow             90 230   0   2
s2adjust         90 230   1.00000   2
ctable           90 230   0.00000   2
ptable           90 230   0.00000   2
ctableadjust     90 230   0.00000   2
ptableadjust     90 230   0.00000   2
Ufermi           90 230  45.00000   2
cfermi           90 230   5.00000   2
Krotconstant     90 230   1.00000   2
Pshift           90 230   0.00000   3
Pshiftadjust     90 230   0.00000   3
deltaW           90 230   0.60000   3
T                90 230   0.42520   3
E0               90 230   0.00002   3
Exmatch          90 230   4.50162   3
Tadjust          90 230   1.00000   3
E0adjust         90 230   1.00000   3
Exmatchadjust    90 230   1.00000   3
Ntop             90 230   1   3
Nlow             90 230   0   3
s2adjust         90 230   1.00000   3
ctable           90 230   0.00000   3
ptable           90 230   0.00000   3
ctableadjust     90 230   0.00000   3
ptableadjust     90 230   0.00000   3
Ufermi           90 230  45.00000   3
cfermi           90 230   5.00000   3
Krotconstant     90 230   1.00000   3
D0               90 230 6.20000E-01
g                90 230  15.33333
gp               90 230   6.00000
gn               90 230   9.33333
gnadjust         90 230   1.00000
gpadjust         90 230   1.00000
gadjust          90 230   1.00000
Risomer          90 230   1.00000
## parameters: 
##   photon strength function
gamgam           90 230   0.00004
gamgamadjust     90 230   1.00000
etable           90 230   0.00000 E1
ftable           90 230   1.00000 E1
wtable           90 230   1.00000 E1
etableadjust     90 230   0.00000 E1
ftableadjust     90 230   1.00000 E1
wtableadjust     90 230   1.00000 E1
upbendc          90 230 3.50000E-08 M1
upbende          90 230 8.00000E-01 M1
upbendf          90 230 6.00000E+00 M1
upbendcadjust    90 230 1.00000E+00 M1
upbendeadjust    90 230 1.00000E+00 M1
upbendfadjust    90 230 1.00000E+00 M1
sgr              90 230   2.788 M1
egr              90 230   7.272 M1
ggr              90 230   4.000 M1
sgradjust        90 230   1.000 M1
egradjust        90 230   1.000 M1
ggradjust        90 230   1.000 M1
etable           90 230   0.00000 E2
ftable           90 230   1.00000 E2
wtable           90 230   1.00000 E2
etableadjust     90 230   0.00000 E2
ftableadjust     90 230   1.00000 E2
wtableadjust     90 230   1.00000 E2
upbendc          90 230 0.00000E+00 M2
upbende          90 230 0.00000E+00 M2
upbendf          90 230 0.00000E+00 M2
upbendcadjust    90 230 1.00000E+00 M2
upbendeadjust    90 230 1.00000E+00 M2
upbendfadjust    90 230 1.00000E+00 M2
sgr              90 230   0.002 M2
egr              90 230   7.272 M2
ggr              90 230   4.000 M2
sgradjust        90 230   1.000 M2
egradjust        90 230   1.000 M2
ggradjust        90 230   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 230   1.00000
vfiscor          90 230   1.00000
rmiufiscor       90 230   1.00000
betafiscoradjust   90 230   1.00000
vfiscoradjust    90 230   1.00000
rmiufiscoradjust   90 230   1.00000
bdamp            90 230   0.01000  1
bdampadjust      90 230   1.00000  1
class2width      90 230   0.20000  1
Rtransmom        90 230   0.60000  1
Rclass2mom       90 230   1.00000  1
bdamp            90 230   0.01000  2
bdampadjust      90 230   1.00000  2
class2width      90 230   0.20000  2
Rtransmom        90 230   1.00000  2
Rclass2mom       90 230   1.00000  2
bdamp            90 230   0.01000  3
bdampadjust      90 230   1.00000  3
Rtransmom        90 230   1.00000  3
Rclass2mom       90 230   1.00000  3
## residual:
##   Z: 89
##   A: 230
##   nuclide: Ac230 
## parameters: 
##   level density
a                89 230  16.74592
aadjust          89 230   1.00000
gammald          89 230   0.07730
pair             89 230   0.00000
Pshift           89 230   0.00000   0
Pshiftadjust     89 230   0.00000   0
deltaW           89 230   3.90590   0
T                89 230   0.32321   0
E0               89 230  -1.04601   0
Exmatch          89 230   2.12330   0
Tadjust          89 230   1.00000   0
E0adjust         89 230   1.00000   0
Exmatchadjust    89 230   1.00000   0
Ntop             89 230   0   0
Nlow             89 230   0   0
s2adjust         89 230   1.00000   0
ctable           89 230   0.00000   0
ptable           89 230   0.00000   0
ctableadjust     89 230   0.00000   0
ptableadjust     89 230   0.00000   0
Ufermi           89 230  30.00000   0
cfermi           89 230   5.00000   0
Krotconstant     89 230   1.00000   0
Pshift           89 230   0.00000   1
Pshiftadjust     89 230   0.00000   1
deltaW           89 230   1.50000   1
T                89 230   0.32321   1
E0               89 230  -0.75198   1
Exmatch          89 230   1.62043   1
Tadjust          89 230   1.00000   1
E0adjust         89 230   1.00000   1
Exmatchadjust    89 230   1.00000   1
Ntop             89 230   1   1
Nlow             89 230   0   1
s2adjust         89 230   1.00000   1
ctable           89 230   0.00000   1
ptable           89 230   0.00000   1
ctableadjust     89 230   0.00000   1
ptableadjust     89 230   0.00000   1
Ufermi           89 230  45.00000   1
cfermi           89 230   5.00000   1
Krotconstant     89 230   1.00000   1
Pshift           89 230   0.00000   2
Pshiftadjust     89 230   0.00000   2
deltaW           89 230   0.60000   2
T                89 230   0.32321   2
E0               89 230  -0.65926   2
Exmatch          89 230   1.39394   2
Tadjust          89 230   1.00000   2
E0adjust         89 230   1.00000   2
Exmatchadjust    89 230   1.00000   2
Ntop             89 230   1   2
Nlow             89 230   0   2
s2adjust         89 230   1.00000   2
ctable           89 230   0.00000   2
ptable           89 230   0.00000   2
ctableadjust     89 230   0.00000   2
ptableadjust     89 230   0.00000   2
Ufermi           89 230  45.00000   2
cfermi           89 230   5.00000   2
Krotconstant     89 230   1.00000   2
Pshift           89 230   0.00000   3
Pshiftadjust     89 230   0.00000   3
deltaW           89 230   0.60000   3
T                89 230   0.32321   3
E0               89 230  -0.67584   3
Exmatch          89 230   1.39394   3
Tadjust          89 230   1.00000   3
E0adjust         89 230   1.00000   3
Exmatchadjust    89 230   1.00000   3
Ntop             89 230   1   3
Nlow             89 230   0   3
s2adjust         89 230   1.00000   3
ctable           89 230   0.00000   3
ptable           89 230   0.00000   3
ctableadjust     89 230   0.00000   3
ptableadjust     89 230   0.00000   3
Ufermi           89 230  45.00000   3
cfermi           89 230   5.00000   3
Krotconstant     89 230   1.00000   3
g                89 230  15.33333
gp               89 230   5.93333
gn               89 230   9.40000
gnadjust         89 230   1.00000
gpadjust         89 230   1.00000
gadjust          89 230   1.00000
Risomer          89 230   1.00000
## parameters: 
##   photon strength function
gamgam           89 230   0.00000
gamgamadjust     89 230   1.00000
etable           89 230   0.00000 E1
ftable           89 230   1.00000 E1
wtable           89 230   1.00000 E1
etableadjust     89 230   0.00000 E1
ftableadjust     89 230   1.00000 E1
wtableadjust     89 230   1.00000 E1
upbendc          89 230 3.50000E-08 M1
upbende          89 230 8.00000E-01 M1
upbendf          89 230 6.00000E+00 M1
upbendcadjust    89 230 1.00000E+00 M1
upbendeadjust    89 230 1.00000E+00 M1
upbendfadjust    89 230 1.00000E+00 M1
sgr              89 230   2.788 M1
egr              89 230   7.272 M1
ggr              89 230   4.000 M1
sgradjust        89 230   1.000 M1
egradjust        89 230   1.000 M1
ggradjust        89 230   1.000 M1
etable           89 230   0.00000 E2
ftable           89 230   1.00000 E2
wtable           89 230   1.00000 E2
etableadjust     89 230   0.00000 E2
ftableadjust     89 230   1.00000 E2
wtableadjust     89 230   1.00000 E2
upbendc          89 230 0.00000E+00 M2
upbende          89 230 0.00000E+00 M2
upbendf          89 230 0.00000E+00 M2
upbendcadjust    89 230 1.00000E+00 M2
upbendeadjust    89 230 1.00000E+00 M2
upbendfadjust    89 230 1.00000E+00 M2
sgr              89 230   0.002 M2
egr              89 230   7.272 M2
ggr              89 230   4.000 M2
sgradjust        89 230   1.000 M2
egradjust        89 230   1.000 M2
ggradjust        89 230   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       89 230   1.00000
vfiscor          89 230   1.00000
rmiufiscor       89 230   1.00000
betafiscoradjust   89 230   1.00000
vfiscoradjust    89 230   1.00000
rmiufiscoradjust   89 230   1.00000
bdamp            89 230   0.01000  1
bdampadjust      89 230   1.00000  1
class2width      89 230   0.20000  1
Rtransmom        89 230   0.60000  1
Rclass2mom       89 230   1.00000  1
bdamp            89 230   0.01000  2
bdampadjust      89 230   1.00000  2
class2width      89 230   0.20000  2
Rtransmom        89 230   1.00000  2
Rclass2mom       89 230   1.00000  2
bdamp            89 230   0.01000  3
bdampadjust      89 230   1.00000  3
Rtransmom        89 230   1.00000  3
Rclass2mom       89 230   1.00000  3
## residual:
##   Z: 89
##   A: 229
##   nuclide: Ac229 
## parameters: 
##   level density
a                89 229  16.54653
aadjust          89 229   1.00000
gammald          89 229   0.07741
pair             89 229   0.79298
Pshift           89 229   0.00000   0
Pshiftadjust     89 229   0.00000   0
deltaW           89 229   3.84308   0
T                89 229   0.38615   0
E0               89 229  -1.00203   0
